program_id,name,description,orderindex,overview_image_id
1,LDP 1 ,LDP 1 ,1,"""1.jpeg"""
1,LDP 2 ,LDP 2 ,2,"""1.jpeg"""
1,LDP 3 ,LDP 3 ,3,"""1.jpeg"""
1,LDP 4,LDP 4,4,"""1.jpeg"""
1,LDP 5,LDP 5,5,"""1.jpeg"""
1,LDP 6,LDP 6,6,"""1.jpeg"""
1,LDP 7,LDP 7,7,"""1.jpeg"""
1,LDP 8,LDP 8,8,"""1.jpeg"""
1,LDP 9,LDP 9,9,"""1.jpeg"""
1,LDP 10,LDP 10,10,"""1.jpeg"""
2,CBT 1 ,CBT 1 ,1,"""1.jpeg"""
2,CBT 2,CBT 2,2,"""1.jpeg"""
2,CBT 3,CBT 3,3,"""1.jpeg"""
2,CBT 4,CBT 4,4,"""1.jpeg"""
2,CBT 5,CBT 5,5,"""1.jpeg"""
2,CBT 6,CBT 6,6,"""1.jpeg"""
2,CBT 7,CBT 7,7,"""1.jpeg"""
2,CBT 8,CBT 8,8,"""1.jpeg"""
3,NP 1,NP 1,1,"""1.jpeg"""
3,NP 2,NP 2,2,"""1.jpeg"""
3,NP 3,NP 3,3,"""1.jpeg"""
3,NP 4,NP 4,4,"""1.jpeg"""
4,MC 1,MC 1,1,"""1.jpeg"""
4,MC 2,MC 2,2,"""1.jpeg"""
4,MC 3,MC 3,3,"""1.jpeg"""
4,MC 4,MC 4,4,"""1.jpeg"""
